0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
186.9861111,191.4774306,128.4565972,126.7361111,131.5815972,127.4479167,142.1076389,173.2673611,179.6631944,158.0416667,126.4010417,70.76388889,67.88888889,90.69444444,59.73611111,23.13888889,16.09027778,9.456597222,2.03125,8.583333333,10.59895833,2.208333333,0.982638889,1.03125,0.928819444,4.098958333,5.791666667,3.720486111,0.625,0.972222222,2.880208333,1.3125,5.211805556,1.934027778,9.777777778,28.78645833,53.11979167,62.06423611,118.0260417,156.15625,144.6979167,186.6163194,172.4322917,151.7291667,141.8767361,173.1701389,150.8819444,162.8454861,123.7864583,130.1319444,2.508680556,2.335069444,0.489583333,0.114583333,0.019097222,0.003472222,0.404513889,0.991319444,1.128472222,0.829861111,0.673611111,0.001736111,0.935763889,3.939236111,3.019097222,1.027777778,3.513888889,8.465277778,10.625,47.75,80.79166667,63.265625,77.91840278,122.6475694,102.7708333,180.7013889,217.0069444,183.1805556,137.1145833,144.6145833,192.1684028,162.8454861,209.421875,169.6180556,155.9444444,186.6857639,189.9826389,163.5121528,205.7951389,213.8211806,172.453125,186.5451389,144.1388889,100.8454861,68.66319444,64.30381944,33.94965278,20.79861111,5.282986111,0.881944444,2.480902778,2.979166667,4.119791667,12.890625,26.05902778,39.48611111,69.38888889,114.5902778,149.2934028,156.4184028,149.6475694,112.8107639,137.8819444,207.6579861,202.2413194,158.4756944,197.5399306,219.1163194,176.1892361,211.9479167,227.8368056,169.9357639,154.0798611,181.8559028,128.1961806,180.7795139,189.9340278,132.0017361,65.89409722,49.30729167,54.77256944,22.60069444,20.47743056,3.354166667,1.567708333,2.435763889,3.074652778,1.84375,4.161458333,5.404513889,1.78125,2.255208333,1.03125,0.991319444,0.970486111,1.237847222,0.958333333,1.013888889,0.805555556,0.513888889,ceilingLight1.JPG,CeilingLight
186.9861111,191.4774306,128.4565972,126.7361111,131.5815972,127.4479167,142.1076389,173.2673611,179.6631944,158.0416667,126.4010417,70.76388889,67.88888889,90.69444444,59.73611111,23.13888889,16.09027778,9.456597222,2.03125,8.583333333,10.59895833,2.208333333,0.982638889,1.03125,0.928819444,4.098958333,5.791666667,3.720486111,0.625,0.972222222,2.880208333,1.3125,5.211805556,1.934027778,9.777777778,28.78645833,53.11979167,62.06423611,118.0260417,156.15625,144.6979167,186.6163194,172.4322917,151.7291667,141.8767361,173.1701389,150.8819444,162.8454861,123.7864583,130.1319444,2.508680556,2.335069444,0.489583333,0.114583333,0.019097222,0.003472222,0.404513889,0.991319444,1.128472222,0.829861111,0.673611111,0.001736111,0.935763889,3.939236111,3.019097222,1.027777778,3.513888889,8.465277778,10.625,47.75,80.79166667,63.265625,77.91840278,122.6475694,102.7708333,180.7013889,217.0069444,183.1805556,137.1145833,144.6145833,192.1684028,162.8454861,209.421875,169.6180556,155.9444444,186.6857639,189.9826389,163.5121528,205.7951389,213.8211806,172.453125,186.5451389,144.1388889,100.8454861,68.66319444,64.30381944,33.94965278,20.79861111,5.282986111,0.881944444,2.480902778,2.979166667,4.119791667,12.890625,26.05902778,39.48611111,69.38888889,114.5902778,149.2934028,156.4184028,149.6475694,112.8107639,137.8819444,207.6579861,202.2413194,158.4756944,197.5399306,219.1163194,176.1892361,211.9479167,227.8368056,169.9357639,154.0798611,181.8559028,128.1961806,180.7795139,189.9340278,132.0017361,65.89409722,49.30729167,54.77256944,22.60069444,20.47743056,3.354166667,1.567708333,2.435763889,3.074652778,1.84375,4.161458333,5.404513889,1.78125,2.255208333,1.03125,0.991319444,0.970486111,1.237847222,0.958333333,1.013888889,0.805555556,0.513888889,ceilingLight2.JPG,CeilingLight
186.9861111,191.4774306,128.4565972,126.7361111,131.5815972,127.4479167,142.1076389,173.2673611,179.6631944,158.0416667,126.4010417,70.76388889,67.88888889,90.69444444,59.73611111,23.13888889,16.09027778,9.456597222,2.03125,8.583333333,10.59895833,2.208333333,0.982638889,1.03125,0.928819444,4.098958333,5.791666667,3.720486111,0.625,0.972222222,2.880208333,1.3125,5.211805556,1.934027778,9.777777778,28.78645833,53.11979167,62.06423611,118.0260417,156.15625,144.6979167,186.6163194,172.4322917,151.7291667,141.8767361,173.1701389,150.8819444,162.8454861,123.7864583,130.1319444,2.508680556,2.335069444,0.489583333,0.114583333,0.019097222,0.003472222,0.404513889,0.991319444,1.128472222,0.829861111,0.673611111,0.001736111,0.935763889,3.939236111,3.019097222,1.027777778,3.513888889,8.465277778,10.625,47.75,80.79166667,63.265625,77.91840278,122.6475694,102.7708333,180.7013889,217.0069444,183.1805556,137.1145833,144.6145833,192.1684028,162.8454861,209.421875,169.6180556,155.9444444,186.6857639,189.9826389,163.5121528,205.7951389,213.8211806,172.453125,186.5451389,144.1388889,100.8454861,68.66319444,64.30381944,33.94965278,20.79861111,5.282986111,0.881944444,2.480902778,2.979166667,4.119791667,12.890625,26.05902778,39.48611111,69.38888889,114.5902778,149.2934028,156.4184028,149.6475694,112.8107639,137.8819444,207.6579861,202.2413194,158.4756944,197.5399306,219.1163194,176.1892361,211.9479167,227.8368056,169.9357639,154.0798611,181.8559028,128.1961806,180.7795139,189.9340278,132.0017361,65.89409722,49.30729167,54.77256944,22.60069444,20.47743056,3.354166667,1.567708333,2.435763889,3.074652778,1.84375,4.161458333,5.404513889,1.78125,2.255208333,1.03125,0.991319444,0.970486111,1.237847222,0.958333333,1.013888889,0.805555556,0.513888889,ceilingLight3.JPG,CeilingLight
254,253.9210526,255,254.7894737,254.7631579,253.4473684,254.2631579,252.8947368,234.8947368,209,178,144,109,75,44,19,3,1,0.842105263,0.842105263,0,1,0.263157895,0.394736842,0,0,0.894736842,0.131578947,0.052631579,1,0.263157895,1,1,2.447368421,19.31578947,46.05263158,80,116.0526316,153,188,219.9210526,243,254,254,254,254,254,254,253,254,0,0,0,0,0.026315789,0,0,0.052631579,0,0.894736842,0.105263158,0.105263158,1,0,1,0,3,21.18421053,51.15789474,87.13157895,126,165,201.0263158,231.9210526,251.2894737,254.8947368,254.1052632,254.1315789,254,254,254.2631579,254,255,254.2894737,254,254,254,254,254,254.5789474,254.1315789,254,245,220,187,148.9736842,109,71,38,13,12.07894737,40.68421053,76.21052632,116.1578947,158.8421053,198.1052632,230.9210526,250.1052632,254.1052632,254,254.7894737,254.8947368,254,254,254,254,254,253,254,254,254,254,254,254,251.7894737,237,211,180,145.1315789,110,77,46,19,2.842105263,0,0,0,0.526315789,1,0.552631579,0.842105263,0.157894737,0.157894737,0.368421053,0.368421053,1,1,1,0,0,exitSign1.JPG,ExitSignLight
254,253.9210526,255,254.7894737,254.7631579,253.4473684,254.2631579,252.8947368,234.8947368,209,178,144,109,75,44,19,3,1,0.842105263,0.842105263,0,1,0.263157895,0.394736842,0,0,0.894736842,0.131578947,0.052631579,1,0.263157895,1,1,2.447368421,19.31578947,46.05263158,80,116.0526316,153,188,219.9210526,243,254,254,254,254,254,254,253,254,0,0,0,0,0.026315789,0,0,0.052631579,0,0.894736842,0.105263158,0.105263158,1,0,1,0,3,21.18421053,51.15789474,87.13157895,126,165,201.0263158,231.9210526,251.2894737,254.8947368,254.1052632,254.1315789,254,254,254.2631579,254,255,254.2894737,254,254,254,254,254,254.5789474,254.1315789,254,245,220,187,148.9736842,109,71,38,13,12.07894737,40.68421053,76.21052632,116.1578947,158.8421053,198.1052632,230.9210526,250.1052632,254.1052632,254,254.7894737,254.8947368,254,254,254,254,254,253,254,254,254,254,254,254,251.7894737,237,211,180,145.1315789,110,77,46,19,2.842105263,0,0,0,0.526315789,1,0.552631579,0.842105263,0.157894737,0.157894737,0.368421053,0.368421053,1,1,1,0,0,exitSign2.JPG,ExitSignLight
254,253.9210526,255,254.7894737,254.7631579,253.4473684,254.2631579,252.8947368,234.8947368,209,178,144,109,75,44,19,3,1,0.842105263,0.842105263,0,1,0.263157895,0.394736842,0,0,0.894736842,0.131578947,0.052631579,1,0.263157895,1,1,2.447368421,19.31578947,46.05263158,80,116.0526316,153,188,219.9210526,243,254,254,254,254,254,254,253,254,0,0,0,0,0.026315789,0,0,0.052631579,0,0.894736842,0.105263158,0.105263158,1,0,1,0,3,21.18421053,51.15789474,87.13157895,126,165,201.0263158,231.9210526,251.2894737,254.8947368,254.1052632,254.1315789,254,254,254.2631579,254,255,254.2894737,254,254,254,254,254,254.5789474,254.1315789,254,245,220,187,148.9736842,109,71,38,13,12.07894737,40.68421053,76.21052632,116.1578947,158.8421053,198.1052632,230.9210526,250.1052632,254.1052632,254,254.7894737,254.8947368,254,254,254,254,254,253,254,254,254,254,254,254,251.7894737,237,211,180,145.1315789,110,77,46,19,2.842105263,0,0,0,0.526315789,1,0.552631579,0.842105263,0.157894737,0.157894737,0.368421053,0.368421053,1,1,1,0,0,exitSign3.JPG,ExitSignLight
254,253.9210526,255,254.7894737,254.7631579,253.4473684,254.2631579,252.8947368,234.8947368,209,178,144,109,75,44,19,3,1,0.842105263,0.842105263,0,1,0.263157895,0.394736842,0,0,0.894736842,0.131578947,0.052631579,1,0.263157895,1,1,2.447368421,19.31578947,46.05263158,80,116.0526316,153,188,219.9210526,243,254,254,254,254,254,254,253,254,0,0,0,0,0.026315789,0,0,0.052631579,0,0.894736842,0.105263158,0.105263158,1,0,1,0,3,21.18421053,51.15789474,87.13157895,126,165,201.0263158,231.9210526,251.2894737,254.8947368,254.1052632,254.1315789,254,254,254.2631579,254,255,254.2894737,254,254,254,254,254,254.5789474,254.1315789,254,245,220,187,148.9736842,109,71,38,13,12.07894737,40.68421053,76.21052632,116.1578947,158.8421053,198.1052632,230.9210526,250.1052632,254.1052632,254,254.7894737,254.8947368,254,254,254,254,254,253,254,254,254,254,254,254,251.7894737,237,211,180,145.1315789,110,77,46,19,2.842105263,0,0,0,0.526315789,1,0.552631579,0.842105263,0.157894737,0.157894737,0.368421053,0.368421053,1,1,1,0,0,exitSign4.JPG,ExitSignLight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,200,227,227,227,227,227,227,227,227,230,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,81,81,81,81,81,81,81,81,81,100,232,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,240,154,141,141,141,141,141,141,141,141,125,38,26,26,26,26,26,26,26,26,26,255,255,255,255,255,255,255,255,255,224,35,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,whiteBoard1.JPG,WhiteBoardLight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,200,227,227,227,227,227,227,227,227,230,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,81,81,81,81,81,81,81,81,81,100,232,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,240,154,141,141,141,141,141,141,141,141,125,38,26,26,26,26,26,26,26,26,26,255,255,255,255,255,255,255,255,255,224,35,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,whiteBoard2.JPG,WhiteBoardLight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,200,227,227,227,227,227,227,227,227,230,252,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,81,81,81,81,81,81,81,81,81,100,232,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,240,154,141,141,141,141,141,141,141,141,125,38,26,26,26,26,26,26,26,26,26,255,255,255,255,255,255,255,255,255,224,35,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,whiteBoard3.JPG,WhiteBoardLight
